2026-05-23 22:01:12 Starting part 3/3
2026-05-23 22:01:12 Range: 7382 - 11073 (total keys: 11073)
2026-05-23 22:01:12 Resuming from cache: 401 already processed
2026-05-23 22:01:34 Progress part3: 450/3691 (translated: 50, skipped: 0, failed: 0)
2026-05-23 22:01:59 Progress part3: 500/3691 (translated: 81, skipped: 19, failed: 0)
2026-05-23 22:02:44 Progress part3: 550/3691 (translated: 131, skipped: 19, failed: 0)
2026-05-23 22:03:25 Progress part3: 600/3691 (translated: 181, skipped: 19, failed: 0)
2026-05-23 22:04:12 Progress part3: 650/3691 (translated: 231, skipped: 19, failed: 0)
2026-05-23 22:05:12 Progress part3: 700/3691 (translated: 281, skipped: 19, failed: 0)
2026-05-23 22:06:00 Progress part3: 750/3691 (translated: 331, skipped: 19, failed: 0)
2026-05-23 22:06:54 Progress part3: 800/3691 (translated: 381, skipped: 19, failed: 0)
2026-05-23 22:07:42 Progress part3: 850/3691 (translated: 431, skipped: 19, failed: 0)
2026-05-23 22:08:27 Progress part3: 900/3691 (translated: 481, skipped: 19, failed: 0)
2026-05-23 22:09:12 Progress part3: 950/3691 (translated: 531, skipped: 19, failed: 0)
2026-05-23 22:10:01 Progress part3: 1000/3691 (translated: 580, skipped: 20, failed: 0)
2026-05-23 22:10:38 Progress part3: 1050/3691 (translated: 630, skipped: 20, failed: 0)
2026-05-23 22:11:21 Progress part3: 1100/3691 (translated: 680, skipped: 20, failed: 0)
2026-05-23 22:12:03 Progress part3: 1150/3691 (translated: 730, skipped: 20, failed: 0)
2026-05-23 22:12:50 Progress part3: 1200/3691 (translated: 780, skipped: 20, failed: 0)
2026-05-23 22:13:44 Progress part3: 1250/3691 (translated: 830, skipped: 20, failed: 0)
2026-05-23 22:14:35 Progress part3: 1300/3691 (translated: 880, skipped: 20, failed: 0)
2026-05-23 22:15:16 Progress part3: 1350/3691 (translated: 930, skipped: 20, failed: 0)
2026-05-23 22:15:58 Progress part3: 1400/3691 (translated: 980, skipped: 20, failed: 0)
2026-05-23 22:16:36 Progress part3: 1450/3691 (translated: 1030, skipped: 20, failed: 0)
2026-05-23 22:17:20 Progress part3: 1500/3691 (translated: 1079, skipped: 21, failed: 0)
2026-05-23 22:17:59 Progress part3: 1550/3691 (translated: 1129, skipped: 21, failed: 0)
2026-05-23 22:18:35 Progress part3: 1600/3691 (translated: 1179, skipped: 21, failed: 0)
2026-05-23 22:19:04 Progress part3: 1650/3691 (translated: 1229, skipped: 21, failed: 0)
2026-05-23 22:19:43 Progress part3: 1700/3691 (translated: 1279, skipped: 21, failed: 0)
2026-05-23 22:20:17 Progress part3: 1750/3691 (translated: 1329, skipped: 21, failed: 0)
2026-05-23 22:20:58 Progress part3: 1800/3691 (translated: 1379, skipped: 21, failed: 0)
2026-05-23 22:21:43 Progress part3: 1850/3691 (translated: 1429, skipped: 21, failed: 0)
2026-05-23 22:22:19 Progress part3: 1900/3691 (translated: 1479, skipped: 21, failed: 0)
2026-05-23 22:22:56 Progress part3: 1950/3691 (translated: 1529, skipped: 21, failed: 0)
2026-05-23 22:23:34 Progress part3: 2000/3691 (translated: 1579, skipped: 21, failed: 0)
2026-05-23 22:24:10 Progress part3: 2050/3691 (translated: 1629, skipped: 21, failed: 0)
2026-05-23 22:24:47 Progress part3: 2100/3691 (translated: 1679, skipped: 21, failed: 0)
2026-05-23 22:25:24 Progress part3: 2150/3691 (translated: 1729, skipped: 21, failed: 0)
2026-05-23 22:26:01 Progress part3: 2200/3691 (translated: 1779, skipped: 21, failed: 0)
2026-05-23 22:26:42 Progress part3: 2250/3691 (translated: 1829, skipped: 21, failed: 0)
2026-05-23 22:27:23 Progress part3: 2300/3691 (translated: 1879, skipped: 21, failed: 0)
2026-05-23 22:28:03 Progress part3: 2350/3691 (translated: 1929, skipped: 21, failed: 0)
2026-05-23 22:28:44 Progress part3: 2400/3691 (translated: 1979, skipped: 21, failed: 0)
2026-05-23 22:29:20 Progress part3: 2450/3691 (translated: 2029, skipped: 21, failed: 0)
2026-05-23 22:29:57 Progress part3: 2500/3691 (translated: 2079, skipped: 21, failed: 0)
2026-05-23 22:30:34 Progress part3: 2550/3691 (translated: 2129, skipped: 21, failed: 0)
2026-05-23 22:31:10 Progress part3: 2600/3691 (translated: 2179, skipped: 21, failed: 0)
2026-05-23 22:31:48 Progress part3: 2650/3691 (translated: 2229, skipped: 21, failed: 0)
