2026-05-23 22:00:13 Starting part 1/3
2026-05-23 22:00:13 Range: 0 - 3691 (total keys: 11073)
2026-05-23 22:00:13 Progress part1: 0/3691 (translated: 1, skipped: 0, failed: 0)
2026-05-23 22:00:32 Progress part1: 50/3691 (translated: 51, skipped: 0, failed: 0)
2026-05-23 22:00:50 Progress part1: 100/3691 (translated: 101, skipped: 0, failed: 0)
2026-05-23 22:01:09 Progress part1: 150/3691 (translated: 151, skipped: 0, failed: 0)
2026-05-23 22:01:30 Progress part1: 200/3691 (translated: 201, skipped: 0, failed: 0)
2026-05-23 22:01:51 Progress part1: 250/3691 (translated: 251, skipped: 0, failed: 0)
2026-05-23 22:02:13 Progress part1: 300/3691 (translated: 301, skipped: 0, failed: 0)
2026-05-23 22:02:44 Progress part1: 350/3691 (translated: 351, skipped: 0, failed: 0)
2026-05-23 22:03:09 Progress part1: 400/3691 (translated: 401, skipped: 0, failed: 0)
2026-05-23 22:03:35 Progress part1: 450/3691 (translated: 451, skipped: 0, failed: 0)
2026-05-23 22:04:03 Progress part1: 500/3691 (translated: 501, skipped: 0, failed: 0)
2026-05-23 22:04:40 Progress part1: 550/3691 (translated: 551, skipped: 0, failed: 0)
2026-05-23 22:05:17 Progress part1: 600/3691 (translated: 601, skipped: 0, failed: 0)
2026-05-23 22:05:48 Progress part1: 650/3691 (translated: 651, skipped: 0, failed: 0)
2026-05-23 22:06:18 Progress part1: 700/3691 (translated: 701, skipped: 0, failed: 0)
2026-05-23 22:06:48 Progress part1: 750/3691 (translated: 751, skipped: 0, failed: 0)
2026-05-23 22:07:18 Progress part1: 800/3691 (translated: 801, skipped: 0, failed: 0)
2026-05-23 22:07:46 Progress part1: 850/3691 (translated: 851, skipped: 0, failed: 0)
2026-05-23 22:08:14 Progress part1: 900/3691 (translated: 901, skipped: 0, failed: 0)
2026-05-23 22:08:39 Progress part1: 950/3691 (translated: 951, skipped: 0, failed: 0)
2026-05-23 22:09:07 Progress part1: 1000/3691 (translated: 1001, skipped: 0, failed: 0)
2026-05-23 22:09:31 Progress part1: 1050/3691 (translated: 1051, skipped: 0, failed: 0)
